"Address","Occurrences","Indexability","Indexability Status","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://www.mohamedyaakoubi.com/en","1","Indexable","","https://www.mohamedyaakoubi.com/en","","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","","",""
"https://www.mohamedyaakoubi.com/en/contact","1","Indexable","","https://www.mohamedyaakoubi.com/en/contact","","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","","",""
"https://www.mohamedyaakoubi.com/en/services","1","Indexable","","https://www.mohamedyaakoubi.com/en/services","","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","","",""
"https://www.mohamedyaakoubi.com/en/projects/internationalskills","1","Indexable","","https://www.mohamedyaakoubi.com/en/projects/internationalskills","","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","","",""
"https://www.mohamedyaakoubi.com/en/blog/rag-challenge-technical-comparison","1","Indexable","","https://www.mohamedyaakoubi.com/en/blog/rag-challenge-technical-comparison","","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","","",""
"https://www.mohamedyaakoubi.com/en/projects/documed","1","Indexable","","https://www.mohamedyaakoubi.com/en/projects/documed","","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","","",""
"https://www.mohamedyaakoubi.com/en/sheetdiff/api-docs","1","Indexable","","https://www.mohamedyaakoubi.com/en/sheetdiff/api-docs","","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","","",""
"https://www.mohamedyaakoubi.com/en/sheetdiff/privacy-policy","1","Indexable","","https://www.mohamedyaakoubi.com/en/sheetdiff/privacy-policy","","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","","",""
"https://www.mohamedyaakoubi.com/en/projects","1","Indexable","","https://www.mohamedyaakoubi.com/en/projects","","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","","",""
"https://www.mohamedyaakoubi.com/en/sheetdiff/api-docs/engine-precision","1","Indexable","","https://www.mohamedyaakoubi.com/en/sheetdiff/api-docs/engine-precision","","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","","",""
"https://www.mohamedyaakoubi.com/en/sheetdiff/terms-of-service","1","Indexable","","https://www.mohamedyaakoubi.com/en/sheetdiff/terms-of-service","","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","","",""
"https://www.mohamedyaakoubi.com/en/sheetdiff/api-docs/playground","1","Indexable","","https://www.mohamedyaakoubi.com/en/sheetdiff/api-docs/playground","","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","","",""
"https://www.mohamedyaakoubi.com/en/blog/ai-built-it-i-broke-it-ai-helped-me-break-it","1","Indexable","","https://www.mohamedyaakoubi.com/en/blog/ai-built-it-i-broke-it-ai-helped-me-break-it","","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","","",""
"https://www.mohamedyaakoubi.com/en/experience","1","Indexable","","https://www.mohamedyaakoubi.com/en/experience","","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","","",""
"https://www.mohamedyaakoubi.com/en/sheetdiff/pricing","1","Indexable","","https://www.mohamedyaakoubi.com/en/sheetdiff/pricing","","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","","",""
"https://www.mohamedyaakoubi.com/en/blog","1","Indexable","","https://www.mohamedyaakoubi.com/en/blog","","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","","",""
"https://www.mohamedyaakoubi.com/en/sheetdiff/api-docs/demo","1","Indexable","","https://www.mohamedyaakoubi.com/en/sheetdiff/api-docs/demo","","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","","",""
"https://www.mohamedyaakoubi.com/en/sheetdiff/api-docs/diff-statuses","1","Indexable","","https://www.mohamedyaakoubi.com/en/sheetdiff/api-docs/diff-statuses","","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","","",""
"https://www.mohamedyaakoubi.com/en/privacy-policy","1","Indexable","","https://www.mohamedyaakoubi.com/en/privacy-policy","","index, follow","","","","",""
"https://www.mohamedyaakoubi.com/en/projects/potential","1","Indexable","","https://www.mohamedyaakoubi.com/en/projects/potential","","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","","",""
"https://www.mohamedyaakoubi.com/en/sheetdiff","1","Indexable","","https://www.mohamedyaakoubi.com/en/sheetdiff","","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","","",""
"https://www.mohamedyaakoubi.com/en/sheetdiff/api-docs/terms-of-service","1","Indexable","","https://www.mohamedyaakoubi.com/en/sheetdiff/api-docs/terms-of-service","","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","","",""
"https://www.mohamedyaakoubi.com/en/sheetdiff/api-docs/privacy-policy","1","Indexable","","https://www.mohamedyaakoubi.com/en/sheetdiff/api-docs/privacy-policy","","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","","",""
"https://www.mohamedyaakoubi.com/en/terms-of-service","1","Indexable","","https://www.mohamedyaakoubi.com/en/terms-of-service","","index, follow","","","","",""
"https://www.mohamedyaakoubi.com/en/sheetdiff/api-docs/parameters","1","Indexable","","https://www.mohamedyaakoubi.com/en/sheetdiff/api-docs/parameters","","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","","",""
